pertanyaan,jawaban
Apa yang menjadi tujuan utama dari Peraturan Pemerintah Nomor 51 Tahun 2023?,"Untuk mengubah ketentuan mengenai upah minimum dalam PP No. 36 Tahun 2021 agar sesuai dengan UU Cipta Kerja, menjaga daya beli buruh, dan menyesuaikan dinamika ketenagakerjaan."
Siapa yang berhak mendapatkan upah minimum menurut Pasal 24 ayat (1)?,Pekerja atau buruh dengan masa kerja kurang dari 1 tahun pada perusahaan yang bersangkutan.
Kapan pekerja dengan masa kerja kurang dari 1 tahun bisa mendapat upah lebih dari minimum?,Jika pekerja memiliki kualifikasi tertentu yang disyaratkan dalam jabatan.
Apa saja jenis upah minimum menurut Pasal 25 ayat (1)?,Upah minimum provinsi dan upah minimum kabupaten/kota dengan syarat tertentu.
Bagaimana cara menghitung penyesuaian upah minimum tahunan menurut Pasal 26?,"Dengan formula yang mempertimbangkan pertumbuhan ekonomi, inflasi, dan indeks tertentu."
Apa itu indeks tertentu dalam perhitungan upah minimum?,Indeks yang mewakili kontribusi tenaga kerja terhadap pertumbuhan ekonomi daerah.
Siapa yang menentukan nilai indeks tertentu (simbol α)?,Dewan pengupahan provinsi atau kabupaten/kota dengan mempertimbangkan tingkat penyerapan tenaga kerja dan median upah.
Apa yang dilakukan jika hasil perhitungan upah minimum lebih kecil atau sama dengan nol?,Upah minimum yang ditetapkan sama dengan nilai upah minimum tahun berjalan.
Apa rumus jika upah minimum melebihi rata-rata konsumsi rumah tangga per pekerja?,Nilai Penyesuaian = Pertumbuhan Ekonomi × α × Upah Minimum Tahun Berjalan
Kapan gubernur harus menetapkan upah minimum provinsi setiap tahun?,Paling lambat tanggal 21 November tahun berjalan.
Apa itu Upah Minimum Provinsi (UMP)?,UMP adalah upah minimum yang ditetapkan oleh gubernur setiap tahun berdasarkan kondisi ekonomi dan ketenagakerjaan di tingkat provinsi.
Apa itu Upah Minimum Kabupaten/Kota (UMK)?,"UMK adalah upah minimum yang ditetapkan gubernur untuk kabupaten/kota yang memenuhi syarat tertentu, dan dapat lebih tinggi dari UMP."
Bagaimana jika tanggal 21 November jatuh pada hari libur?,UMP ditetapkan dan diumumkan 1 hari sebelum hari libur nasional tersebut.
Apa rumus perhitungan UMP menurut Pasal 26?,UMt+1 = UMt + [ (Inflasi + (Pertumbuhan Ekonomi × α)) × UMt ]
Siapa yang bertugas menghitung penyesuaian UMP?,Dewan pengupahan provinsi yang menghitung dan merekomendasikannya kepada gubernur.
Kapan UMK ditetapkan oleh gubernur?,UMK ditetapkan paling lambat tanggal 30 November tahun berjalan.
Apa yang terjadi jika UMK lebih rendah atau sama dengan UMP?,Bupati/wali kota tidak dapat merekomendasikan nilai UMK ke gubernur.
Apa syarat suatu kabupaten/kota dapat menetapkan UMK untuk pertama kali?,"Jika rata-rata pertumbuhan ekonomi kabupaten/kota selama 3 tahun lebih tinggi dari provinsi, atau pertumbuhan dikurangi inflasi selalu positif dan lebih tinggi dari provinsi."
Apa variabel yang digunakan dalam formula penghitungan UMK awal?,"Paritas daya beli, tingkat penyerapan tenaga kerja, dan median upah."
Bagaimana cara menghitung nilai UMK relatif terhadap UMP berdasarkan paritas daya beli?,UMK = (PPP Kab/Kota ÷ PPP Provinsi) × UMP
Apa ketentuan jika terjadi pemekaran provinsi atau kabupaten/kota?,UMK atau UMP pertama kali mengacu pada nilai dari daerah induk sebelum pemekaran.
Siapa yang menetapkan Upah Minimum Ibu Kota Nusantara (IKN)?,Kepala Otorita IKN setelah penetapan pemindahan Ibu Kota Negara.
Kapan UMP dan UMK mulai berlaku setelah ditetapkan?,Mulai berlaku pada tanggal 1 Januari tahun berikutnya.
Apa peran Dewan Pengupahan Kabupaten/Kota?,Memberikan saran dan pertimbangan kepada bupati/wali kota terkait usulan UMK serta struktur dan skala upah.
Apa tujuan perubahan PP Nomor 36 Tahun 2021 melalui PP 51 Tahun 2023?,"Untuk menyesuaikan dengan dinamika hubungan industrial, menjaga daya beli pekerja, dan mendukung iklim usaha yang kompetitif."
Apa saja jenis upah minimum yang diatur dalam Pasal 25?,Upah minimum provinsi dan upah minimum kabupaten/kota dengan syarat tertentu.
Apa yang dimaksud dengan 'struktur dan skala upah'?,"Struktur dan skala upah adalah pedoman pengupahan berdasarkan jabatan, masa kerja, dan kualifikasi pekerja/buruh di perusahaan."
Kapan gubernur menetapkan UMK?,Paling lambat tanggal 30 November tahun berjalan.
